	Wolf1_S70	Wolf10_S79	Wolf11_S80	Wolf12_S81	Wolf13_S82	Wolf14_S83	Wolf15_S84	Wolf16_S85	Wolf17_S86	Wolf18_S87	Wolf19_S88	Wolf2_S71	Wolf20_S89	Wolf21_S90	Wolf22_S91	Wolf23_S92	Wolf24_S93	Wolf25_S94	Wolf3_S72	Wolf4_S73	Wolf5_S74	Wolf6_S75	Wolf7_S76	Wolf8_S77	Wolf9_S78
ASV 458 _	5	0	0	0	0	0	22	0	1	0	0	0	0	1	0	0	0	0	0	0	11	32	0	0	0
ASV 459 _	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 460 _	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 461 _	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 462 _	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	4	7	0	0	0
ASV 463 _	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 464 _	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 465 _	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 466 _	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 467 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0
ASV 468 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	13	0	0	0
ASV 469 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
ASV 470 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
ASV 471 _	0	43	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	8	10	0	0	0
ASV 472 _	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0
ASV 473 _	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	18	17	0	0
ASV 474 _	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 475 _	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 476 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
ASV 477 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0
ASV 478 _	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 479 _	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 480 _	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 481 _	0	0	0	0	0	37	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0
ASV 482 _	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 483 _	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 484 _	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 485 _	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 486 _	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0
ASV 487 _	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	15	0	0	33
ASV 488 _	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 489 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	51	0	0	0
ASV 490 _	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 491 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0
ASV 492 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	39	3	0	0
ASV 493 _	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 494 _	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 495 _	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 496 _	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 497 _	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	20	15	29	0	0
ASV 498 _	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	5	13	0	0	0
ASV 499 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0
ASV 500 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0
ASV 501 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
ASV 502 _	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 503 _	0	0	0	0	0	0	7	0	6	2	0	0	0	0	0	0	0	0	0	0	32	18	0	0	0
ASV 504 _	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 505 _	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 506 _	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 507 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	37	21	0	0
ASV 508 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0
ASV 509 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
ASV 510 _	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 511 _	0	0	0	0	0	0	9	26	0	8	0	0	3	0	0	0	0	18	0	0	0	0	0	0	0
ASV 512 _	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	16	0	0	36	0	0	0
ASV 513 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	16	1	0	0
ASV 514 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0
ASV 515 _	1	0	0	0	0	0	22	0	7	1	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0
ASV 516 _	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 517 _	0	0	17	17	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
ASV 518 _	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 519 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
ASV 520 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0
ASV 521 _	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 522 _	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 523 _	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 524 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
ASV 525 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0
ASV 526 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
ASV 527 _	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 528 _	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	13	28	0	0	0
ASV 529 _	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 530 _	0	0	13	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	15	28	0	0	0
ASV 531 _	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 532 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
ASV 533 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
ASV 534 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
ASV 535 _	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 536 _	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 537 _	0	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0	17	0	0	0	6	11	7	0	2
ASV 538 _	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV 539 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	41	0	0	0
ASV 540 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0
ASV 541 _	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 542 _	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 543 _	0	0	0	0	55	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 544 _	0	0	0	0	0	0	3	36	1	0	0	0	0	5	0	0	0	0	0	0	1	9	3	0	0
ASV 545 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0
ASV 546 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	53	0
ASV 547 _	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 548 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0
ASV 549 _	0	0	0	0	0	0	6	0	37	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
ASV 550 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
ASV 551 _	0	51	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV 552 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0
ASV 553 _	0	4	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	5	0	0	0
ASV 554 _	0	0	0	0	0	0	20	23	3	1	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0
ASV 555 _	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
ASV 556 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0
ASV 557 _	22	29	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV 558 _	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 559 _	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	34	0	0	0	0	0	14	0	1
ASV 560 _	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 561 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0
ASV 562 _	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 563 _	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 564 _	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 565 _	0	0	0	0	0	0	0	0	22	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 566 _	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 567 _	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 568 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0
ASV 569 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0
ASV 570 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	14	0	0	0
ASV 571 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	18	1	0	0
ASV 572 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
ASV 573 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0
ASV 574 _	2	0	0	37	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ASV 575 _	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 576 _	0	22	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	0	0	0	0	0	0
ASV 577 _	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 578 _	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 579 _	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 580 _	0	0	0	0	0	0	0	0	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 581 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
ASV 582 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
ASV 583 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
ASV 584 _	0	0	3	0	3	20	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	8	0
ASV 585 _	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 586 _	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 587 _	0	0	0	0	0	0	3	0	4	2	0	0	0	0	0	0	0	0	0	0	7	12	22	0	0
ASV 588 _	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 589 _	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 590 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
ASV 591 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0
ASV 592 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
ASV 593 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
ASV 594 _	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 595 _	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 596 _	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 597 _	0	0	0	0	34	0	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV 598 _	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 599 _	0	0	0	0	0	0	5	30	0	0	0	0	0	0	0	0	0	0	0	0	1	2	11	0	0
ASV 600 _	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 601 _	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 602 _	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 603 _	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 604 _	0	0	7	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ASV 605 _	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 606 _	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 607 _	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
ASV 608 _	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 609 _	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 610 _	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 611 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0
ASV 612 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0
ASV 613 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
ASV 614 _	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 615 _	0	0	0	0	0	0	15	16	0	0	0	0	4	0	0	0	0	0	0	0	5	6	0	1	0
ASV 616 _	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 617 _	0	0	0	0	0	0	0	0	27	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 618 _	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 619 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV 620 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV 621 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV 622 _	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 623 _	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
ASV 624 _	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 625 _	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 626 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
ASV 627 _	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 628 _	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 629 _	0	0	0	0	0	0	8	21	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0
ASV 630 _	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 631 _	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 632 _	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 633 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0
ASV 634 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
ASV 635 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0
ASV 636 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0
ASV 637 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
ASV 638 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
ASV 639 _	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0
ASV 640 _	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 641 _	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	5	5	28	0	0
ASV 642 _	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 643 _	0	0	0	0	0	0	0	5	21	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 644 _	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 645 _	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
ASV 646 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
ASV 647 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0
ASV 648 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0
ASV 649 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
ASV 650 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV 651 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV 652 _	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 653 _	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 654 _	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 655 _	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 656 _	0	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	1	0	0	0	7	18	0	0	0
ASV 657 _	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 658 _	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 659 _	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 660 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0
ASV 661 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
ASV 662 _	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 663 _	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 664 _	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 665 _	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 666 _	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	16	6	0	0	0
ASV 667 _	0	0	0	0	0	0	17	0	7	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
ASV 668 _	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 669 _	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 670 _	0	0	0	0	0	0	0	36	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 671 _	0	0	0	0	0	0	0	0	22	3	0	0	0	9	0	0	0	0	0	0	0	5	3	0	0
ASV 672 _	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 673 _	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV 674 _	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV 675 _	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
ASV 676 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0
ASV 677 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	12	0	0	0
ASV 678 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ASV 679 _	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 680 _	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 681 _	0	0	0	17	0	0	13	0	0	0	0	0	0	3	0	0	5	0	0	0	1	2	0	0	0
ASV 682 _	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 683 _	0	0	0	0	0	0	0	0	18	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 684 _	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 685 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
ASV 686 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
ASV 687 _	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 688 _	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 689 _	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 690 _	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 691 _	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 692 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
ASV 693 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
ASV 694 _	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
